ID_Usuario;Sexo;Nome;Idade;Email;Telefone; Renda_anual ; Valor_Em_Compras ;Score_Fidelidade;Regi�o;Fequencia_de_compra;M�dia_salarial_Mensal;Valor_Unitario_M�dio;Data_da_Compra;M�s_da_Compra;Ano_da_Compra
19;F;Adelino;30;Adelino@email.com;(32) 80234-1506;R$ 49.000,00;300;9,1;Oeste;16;R$ 4.083,33;R$ 18,75;03/01/2023;Janeiro;2023
46;F;Biana;52;Biana@email.com;(85) 04036-0742;R$ 72.000,00;610;8,6;Oeste;26;R$ 6.000,00;R$ 23,46;03/01/2023;Janeiro;2023
187;F;Heidi;41;Heidi@email.com;(68) 29096-5991;R$ 61.000,00;480;9,2;Oeste;22;R$ 5.083,33;R$ 21,82;05/01/2023;Janeiro;2023
74;F;Chloe;46;Chloe@email.com;(35) 84774-6098;R$ 66.000,00;510;7,5;Norte;22;R$ 5.500,00;R$ 23,18;09/01/2023;Janeiro;2023
15;F;Aila;37;Aila@email.com;(91) 69370-4878;R$ 58.000,00;420;7,1;Leste;20;R$ 4.833,33;R$ 21,00;10/01/2023;Janeiro;2023
162;F;Evelyne;39;Evelyne@email.com;(54) 51865-4853;R$ 57.000,00;440;5,1;Sul;21;R$ 4.750,00;R$ 20,95;12/01/2023;Janeiro;2023
151;F;Evandra;55;Evandra@email.com;(76) 04179-2976;R$ 75.000,00;640;2,8;Oeste;28;R$ 6.250,00;R$ 22,86;18/01/2023;Janeiro;2023
149;F;Evalyn;31;Evalyn@email.com;(89) 67252-3739;R$ 51.000,00;340;9,4;Norte;17;R$ 4.250,00;R$ 20,00;21/01/2023;Janeiro;2023
71;F;Chimalavera;30;Chimalavera@email.com;(50) 22325-9424;R$ 49.000,00;300;2,1;Norte;16;R$ 4.083,33;R$ 18,75;22/01/2023;Janeiro;2023
146;F;Euridce;38;Euridce@email.com;(88) 56596-7455;R$ 59.000,00;430;7,1;Norte;20;R$ 4.916,67;R$ 21,50;22/01/2023;Janeiro;2023
7;F;Agustina;41;Agustina@email.com;(92) 57221-7467;R$ 61.000,00;480;4,7;Sul;21;R$ 5.083,33;R$ 22,86;23/01/2023;Janeiro;2023
186;F;Hei;43;Hei@email.com;(68) 49267-7596;R$ 63.000,00;470;1,7;Sul;21;R$ 5.250,00;R$ 22,38;26/01/2023;Janeiro;2023
124;F;Ellana;51;Ellana@email.com;(44) 53113-1321;R$ 71.000,00;600;4,2;Oeste;25;R$ 5.916,67;R$ 24,00;29/01/2023;Janeiro;2023
3;F;Agnes;34;Agnes@email.com;(35) 20025-0119;R$ 55.000,00;350;5,7;Sul;18;R$ 4.583,33;R$ 19,44;30/01/2023;Janeiro;2023
218;F;Isoke;50;Isoke@email.com;(36) 80324-5721;R$ 70.000,00;600;4,5;Norte;25;R$ 5.833,33;R$ 24,00;03/02/2023;Fevereiro;2023
45;F;Bia;33;Bia@email.com;(84) 14295-5723;R$ 53.000,00;380;3,3;Sul;18;R$ 4.416,67;R$ 21,11;06/02/2023;Fevereiro;2023
39;F;Bethany;30;Bethany@email.com;(84) 19119-5184;R$ 49.000,00;300;3,5;Sul;17;R$ 4.083,33;R$ 17,65;07/02/2023;Fevereiro;2023
123;F;Ella;33;Ella@email.com;(80) 02299-5010;R$ 53.000,00;380;3,2;Sul;18;R$ 4.416,67;R$ 21,11;09/02/2023;Fevereiro;2023
94;F;Ciliza;51;Ciliza@email.com;(47) 99584-2037;R$ 71.000,00;600;3,1;Oeste;25;R$ 5.916,67;R$ 24,00;10/02/2023;Fevereiro;2023
52;F;Biia;49;Biia@email.com;(18) 58309-5178;R$ 69.000,00;590;8,1;Oeste;24;R$ 5.750,00;R$ 24,58;15/02/2023;Fevereiro;2023
14;F;A�ko;33;A�ko@email.com;(64) 98344-1973;R$ 53.000,00;380;1,1;Sul;18;R$ 4.416,67;R$ 21,11;16/02/2023;Fevereiro;2023
296;F;Usuário_296;56;usuario296@exemplo.com;+55 98279-8319;R$ 196.594,26;R$ 2.625;8,6;Sudeste;8;R$ 16.382,86;R$ 328,13;16/02/2023;Fevereiro;2023
746;F;Usuário_296;56;usuario296@exemplo.com;+55 98279-8319;R$ 196.594,26;R$ 151,00;7,7;Sudeste;8;R$ 16.382,86;R$ 18,88;16/02/2023;Fevereiro;2023
12;F;Aidin;28;Aidin@email.com;(31) 84744-1848;R$ 46.000,00;250;5,4;Oeste;15;R$ 3.833,33;R$ 16,67;17/02/2023;Fevereiro;2023
16;F;Ailine;49;Ailine@email.com;(59) 20559-3640;R$ 69.000,00;590;2,3;Oeste;24;R$ 5.750,00;R$ 24,58;19/02/2023;Fevereiro;2023
36;F;Adney;55;Adney@email.com;(81) 67093-2619;R$ 75.000,00;640;9,9;Sul;28;R$ 6.250,00;R$ 22,86;21/02/2023;Fevereiro;2023
224;F;Itzel;46;Itzel@email.com;(46) 96691-2106;R$ 66.000,00;510;2,2;Norte;22;R$ 5.500,00;R$ 23,18;24/02/2023;Fevereiro;2023
192;F;H�lcia;39;H�lcia@email.com;(36) 41880-3767;R$ 57.000,00;440;4,3;Sul;21;R$ 4.750,00;R$ 20,95;25/02/2023;Fevereiro;2023
221;F;Itamara;30;Itamara@email.com;(86) 43834-2082;R$ 49.000,00;300;1,8;Norte;16;R$ 4.083,33;R$ 18,75;27/02/2023;Fevereiro;2023
4;F;Agnia;45;Agnia@email.com;(64) 30446-5113;R$ 65.000,00;500;10;Oeste;22;R$ 5.416,67;R$ 22,73;28/02/2023;Fevereiro;2023
227;F;Ivana;28;Ivana@email.com;(22) 65481-4742;R$ 46.000,00;250;3,6;Norte;14;R$ 3.833,33;R$ 17,86;02/03/2023;Mar�o;2023
402;F;Usuário_402;55;usuario402@exemplo.com;+55 33257-4926;R$ 159.598,48;R$ 1.945;9,3;Sudeste;10;R$ 13.299,87;R$ 194,52;08/03/2023;Mar�o;2023
852;F;Usuário_402;55;usuario402@exemplo.com;+55 33257-4926;R$ 159.598,48;R$ 824,00;2,6;Sudeste;10;R$ 13.299,87;R$ 82,40;08/03/2023;Mar�o;2023
183;F;Hebe;33;Hebe@email.com;(94) 51043-4164;R$ 53.000,00;380;1,4;Sul;18;R$ 4.416,67;R$ 21,11;11/03/2023;Mar�o;2023
84;F;Christiany;45;Christiany@email.com;(12) 39744-7906;R$ 65.000,00;500;6,9;Sul;22;R$ 5.416,67;R$ 22,73;12/03/2023;Mar�o;2023
158;F;Evellyn;50;Evellyn@email.com;(17) 82530-7285;R$ 70.000,00;600;7,9;Norte;25;R$ 5.833,33;R$ 24,00;13/03/2023;Mar�o;2023
120;F;Elizabeth;42;Elizabeth@email.com;(36) 06435-4971;R$ 62.000,00;520;6,9;Sul;23;R$ 5.166,67;R$ 22,61;14/03/2023;Mar�o;2023
509;F;Usuário_509;41;usuario509@exemplo.com;+55 21946-4594;R$ 73.629,59;R$ 8.180;5,9;Sul;6;R$ 6.135,80;R$ 1.363,38;17/03/2023;Mar�o;2023
959;F;Usuário_509;41;usuario509@exemplo.com;+55 21946-4594;R$ 73.629,59;R$ 334,00;1,4;Sul;6;R$ 6.135,80;R$ 55,67;17/03/2023;Mar�o;2023
364;F;Usuário_364;58;usuario364@exemplo.com;+55 22940-8717;R$ 82.967,59;R$ 555;4,8;Norte;1;R$ 6.913,97;R$ 555,43;20/03/2023;Mar�o;2023
814;F;Usuário_364;58;usuario364@exemplo.com;+55 22940-8717;R$ 82.967,59;R$ 820,00;8,6;Norte;1;R$ 6.913,97;R$ 820,00;20/03/2023;Mar�o;2023
82;F;Christianna;49;Christianna@email.com;(36) 14290-7090;R$ 69.000,00;590;1,1;Oeste;24;R$ 5.750,00;R$ 24,58;22/03/2023;Mar�o;2023
333;F;Usuário_333;25;usuario333@exemplo.com;+55 32383-8417;R$ 39.032,27;R$ 16.229;9,5;Nordeste;4;R$ 3.252,69;R$ 4.057,32;26/03/2023;Mar�o;2023
783;F;Usuário_333;25;usuario333@exemplo.com;+55 32383-8417;R$ 39.032,27;R$ 418,00;9,9;Nordeste;4;R$ 3.252,69;R$ 104,50;26/03/2023;Mar�o;2023
30;F;Adil;51;Adil@email.com;(90) 48960-7727;R$ 71.000,00;600;8;Oeste;25;R$ 5.916,67;R$ 24,00;29/03/2023;Mar�o;2023
91;F;Cibelle;55;Cibelle@email.com;(65) 38814-6488;R$ 75.000,00;640;3,7;Oeste;28;R$ 6.250,00;R$ 22,86;29/03/2023;Mar�o;2023
